Country Name,Country Code,Series Name,Series Code,Year,Value,Category,Description
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1960,15.9,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1961,7.82,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1962,14.08,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1963,3.39,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1964,6.68,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1965,5.63,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1966,9.17,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1967,2.67,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1968,1.8,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1969,18.4,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1970,3.73,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1971,17,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1972,19.44,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1973,17.69,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1974,17.04,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1975,17.53,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1976,17.19,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1977,3.43,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1978,11.85,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1979,8.01,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1980,14.68,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1981,5.9,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1982,13.78,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1983,0.19,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1984,3.83,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1985,13.68,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1986,10.67,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1987,12.14,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1988,5.58,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1989,9.94,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1990,14.72,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1991,9.25,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1992,4.9,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1993,19.09,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1994,10.44,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1995,0.17,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1996,13.64,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1997,19.97,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1998,10.47,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,1999,8.85,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,2000,16.45,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,2001,1.21,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,2002,5.66,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,2003,10.51,Environment,CO₂ emissions per capita (metric tons)
Afghanistan,AFG,CO2 emissions (metric tons per capita),EG_CO2_EMISS,2004,0.45,Environment,CO₂ emissions per capita (metric tons)
